                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0797,                 1.2795,                 1.5613,                0.52485,                0.30358,                0.29801,                0.15131,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.0778,                 1.2739,                  1.567,                 0.5262,                0.35319,                0.30472,                0.15126,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.0786,                 1.2822,                 1.5624,                0.56324,                0.29646,                 0.3021,                0.14665,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.0634,                 1.2504,                 1.5461,                0.54838,                0.30303,                0.30665,                0.13912,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.0564,                  1.228,                 1.5334,                0.55635,                0.30473,                 0.3276,                0.16182,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.0457,                 1.2188,                 1.5285,                0.57277,                0.29097,                 0.3295,                 0.1774,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.0452,                 1.1935,                 1.5328,                0.48999,                0.33596,                0.28866,                0.14575,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.0424,                 1.2026,                 1.5273,                0.57859,                0.26244,                0.28627,                0.14005,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                  1.032,                 1.1948,                 1.5172,                0.53671,                0.30115,                0.29037,                0.14267,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.0192,                 1.1437,                 1.5031,                0.54292,                0.30338,                0.29973,                0.14913,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.0215,                 1.1723,                 1.5112,                0.63678,                0.27951,                0.31268,                0.15562,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.0145,                 1.1498,                 1.5072,                0.61449,                0.27272,                0.30013,                0.14475,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.0075,                 1.1256,                 1.4935,                 0.5203,                0.30889,                0.29064,                0.13691,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.0067,                 1.1227,                  1.488,                0.56388,                 0.2788,                0.28048,                0.13884,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.0024,                 1.1119,                 1.4806,                0.53273,                0.32607,                0.29284,                0.14555,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.97847,                 1.1009,                 1.4696,                0.54305,                0.31814,                 0.3077,                0.15015,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.98717,                  1.094,                 1.4653,                0.59688,                0.29831,                0.30179,                0.14455,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.98857,                 1.1011,                 1.4772,                0.56383,                0.31621,                0.33749,                0.16678,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
